H-	4.528
H-	4.528
He	9.66
Li	3.006
Be	4.877
B-	5.11
B-	5.11
C-	5.343
C-	5.343
C-	5.343
C-	5.343
N-	6.899
N-	6.899
N-	6.899
N-	6.899
O-	8.741
O-	8.741
O-	8.741
O-	8.741
O-	8.741
F-	10.874
Ne	11.04
Na	2.843
Mg	3.951
Al	4.06
Si	4.168
p-	5.463
p-	5.463
p-	5.463
S-	6.928
S-	6.928
S-	6.928
S-	6.928
S-	6.928
Cl	8.564
Ar	9.465
K-	2.421
Ca	3.231
SC	3.395
Ti	3.47
Ti	3.47
V	3.65
Cr	3.415
Mn	3.325
Fe	3.76
Fe	3.76
co	4.105
Ni	4.465
cu	4.2
Zn	5.106
Ga	3.641
Ge	4.051
As	5.188
Se	6.428
Br	7.79
Kr	8.505
Rb	2.331
Sr	3.024
Y-	3.83
Zr	3.4
Nb	3.55
MO	3.465
MO	3.465
Tc	3.29
Ru	3.575
Rh	3.975
Pd	4.32
Ag	4.436
Cd	5.034
In	3.506
Sn	3.987
Sb	4.899
Te	5.816
I-	6.822
Xe	7.595
cs	2.183
Ba	2.814
La	2.8355
Ce	2.774
Pr	2.858
Nd	2.8685
Pm	2.881
Sm	2.9115
Eu	2.8785
Gd	3.1665
Tb	3.018
DY	3.0555
Ho	3.127
Er	3.1865
Tm	3.2514
Yb	3.2889
Lu	2.9629
Hf	3.7
Ta	5.1
W	4.63
W	4.63
W	4.63
Re	3.96
Re	3.96
OS	5.14
Ir	5
Pt	4.79
Au	4.894
%	6.27
Tl	3.2
Pb	3.9
Bi	4.69
PO	4.21
At	4.75
Rn	5.37
Fr	2
Ra	2.843
Ac	2.835
Th	3.175
Pa	2.985
U	3.341
Np	3.549
Pu	3.243
Am	2.9895
Cm	2.8315
Bk	3.1935
Cf	3.197
Es	3.333
Fm	3.4
Md	3.47
No	3.475
Lw	3.5
